genre	artist_name	track_name	track_id	popularity
Dance	Whitney Houston	I Wanna Dance with Somebody (Who Loves Me)	2tUBqZG2AbRi7Q0BIrVrEj	82
Dance	Taylor Swift	Delicate	6NFyWDv5CjfwuzoCkw47Xf	80
Dance	Ariana Grande	sweetener	70khXICDeTTxgYtw3EysKH	79
Dance	Miguel	Sky Walker (feat. Travis Scott)	5WoaF1B5XIEnWfmb5NZikf	77
Dance	Zara Larsson	Ruin My Life	5tAa8Uaqr4VvA3693mbIhU	88
Dance	Mark Ronson	Uptown Funk	32OlwWuMpZ6b0aN2RZOeMS	82
Dance	Bazzi	Why	7lozLnUfzcgEpMMVQI7yhA	78
Dance	Julia Michaels	Issues	7vu0JkJh0ldukEYbTVcqd0	76
Dance	NOTD	So Close	7FjZU7XFs7P9jHI9Z0yRhK	86
Dance	Ariana Grande	R.E.M	1xWH8zYtDeS9mW1JJG23VZ	77
Dance	Ariana Grande	Dangerous Woman	7l94dyN2hX9c6wWcZQuOGJ	81
Dance	Calvin Harris	One Kiss (with Dua Lipa)	7ef4DlsgrMEH11cDZd32M6	89
Dance	Zedd	Happy Now	4keoy2fqgwGnbWlm3ZVZFa	85
Dance	Shawn Mendes	Treat You Better	3QGsuHI8jO1Rx4JWLUh9jd	85
Dance	Luis Fonsi	Despacito - Remix	6rPO02ozF3bM7NnOV4h6s2	82
Dance	Lady Gaga	Million Reasons	7dZ1Odmx9jWIweQSatnRqo	83
Dance	Dua Lipa	New Rules	2ekn2ttSfGqwhhate0LSR0	86
Dance	Ti�sto	Jackie Chan	4kWO6O1BUXcZmaxitpVUwp	86
Dance	Bazzi	Beautiful	5TVirkSwFEXF1nLJEebe2I	78
Dance	Why Don't We	8 Letters	4zRZAmBQP8vhNPf9i9opXt	81
Dance	Sabrina Carpenter	Sue Me	3WVhkjB7Y4xFruqoCAajBb	80
Dance	Bruno Mars	24K Magic	6b8Be6ljOzmkOmFslEb23P	80
Dance	Bazzi	Honest	11Tfh16o0SW8KdiQdeESEX	77
Dance	Hailee Steinfeld	Most Girls	10GJQkjRJcZhGTLagFOC62	79
Dance	Shawn Mendes	There's Nothing Holdin' Me Back	7JJmb5XwzOO8jgpou264Ml	84
Dance	Anne-Marie	2002	2BgEsaKNfHUdlh97KmvFyo	86
Dance	Backstreet Boys	I Want It That Way	6e40mgJiCid5HRAGrbpGA6	79
Dance	Jeremy Zucker	all the kids are depressed	75ls0gurX68lUmMjE7QcsE	76
Dance	Julia Michaels	Anxiety (with Selena Gomez)	1XJ93XskwJf7PCyIVLbNBt	83
Dance	Calvin Harris	Promises (with Sam Smith)	5N5k9nd479b1xpDZ4usjrg	90
Dance	Shawn Mendes	Lost In Japan - Remix	575NJxNUVDqwJGdzBrlLbv	83
